character_id,name,exclusive_skill,pve_score,pvp_score,effects,acquisition,release_update,image_url,image_local_url,source_url
echo,Rise Above,Perfect Move,Low,Medium,"[""3★: Applies to: Self"",""3★: • 11% chance to Dodge ALL Attacks, and an additional 0.2 of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • 14% chance to Dodge ALL Attacks, and an additional 0.3 of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • 17% chance to Dodge ALL Attacks, and an additional 0.4 of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • 20% chance to Dodge ALL Attacks, and an additional 0.5 of total Instinct. (Up to 200%)""]",Alliance Battle Legend 2.5m Reward (Round 4 & 11) [3★] | Alliance Battle Legend 2.5m Reward (Round 4 & 11) [4★],Update 7.8,https://thanosvibs.money/images/artifacts/artifact_echo.png,/mff-assets/artifacts/artifactecho.webp,https://thanosvibs.money/api/artifacts
electro,Unlimited Power,Enhanced Shock,Medium,Low,"[""3★: Activation Rate: 90% chance when SHOCK skill is used"",""3★: Applies to: Self"",""3★: • Increases All Basic Attacks by 2% and an additional 0.5% of total Instinct. (Stacks up to 30%) (10 sec.)"",""3★: Cooldown Time 3 seconds"",""4★: Activation Rate: 90% chance when SHOCK skill is used"",""4★: Applies to: Self"",""4★: • Increases All Basic Attacks by 3% and an additional 0.5% of total Instinct. (Stacks up to 40%) (11 sec.)"",""4★: Cooldown Time 3 seconds"",""5★: Activation Rate: 90% chance when SHOCK skill is used"",""5★: Applies to: Self"",""5★: • Increases All Basic Attacks by 4% and an additional 0.5% of total Instinct. (Stacks up to 50%) (12 sec.)"",""5★: Cooldown Time 3 seconds"",""6★: Activation Rate: 90% chance when SHOCK skill is used"",""6★: Applies to: Self"",""6★: • Increases All Basic Attacks by 5% and an additional 0.5% of total Instinct. (Stacks up to 60%) (13 sec.)"",""6★: Cooldown Time 3 seconds""]",,Update 7.9.5b,https://thanosvibs.money/images/artifacts/artifact_electro.png,/mff-assets/artifacts/artifactelectro.webp,https://thanosvibs.money/api/artifacts
elektra,Unending Rebirth,Woman of Fear,Medium,Low,"[""3★: Applies to: Self"",""3★: • 70% chance to increase Basic Critical Damage by 20% on Critical Attacks, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • 70% chance to increase Basic Critical Damage by 25% on Critical Attacks, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • 80% chance to increase Basic Critical Damage by 30% on Critical Attacks, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • 80% chance to increase Basic Critical Damage by 35% on Critical Attacks, and an additional 0.5% of total Instinct. (Up to 200%)""]",Alliance Battle Legend 2.5m Reward (Round 5 & 12) [3★] | Alliance Battle Legend 2.5m Reward (Round 5 & 12) [4★],Update 8.1.5,https://thanosvibs.money/images/artifacts/artifact_elektra.png,/mff-assets/artifacts/artifactelektra.webp,https://thanosvibs.money/api/artifacts
emmafrost,Diamond Queen,Diamond Enhancement,Low,High,"[""3★: Applies to: Self"",""3★: • Reflects 20% of basic damage received, regardless of the attacker's defense effects, (50% of Max Attack), and increases Max ATK Ratio by 0.2 of total Instinct."",""4★: Applies to: Self"",""4★: • Reflects 25% of basic damage received, regardless of the attacker's defense effects, (50% of Max Attack), and increases Max ATK Ratio by 0.3 of total Instinct."",""5★: Applies to: Self"",""5★: • Reflects 30% of basic damage received, regardless of the attacker's defense effects, (50% of Max Attack), and increases Max ATK Ratio by 0.4 of total Instinct."",""6★: Applies to: Self"",""6★: • Reflects 35% of basic damage received, regardless of the attacker's defense effects, (50% of Max Attack), and increases Max ATK Ratio by 0.5 of total Instinct.""]",Alliance Battle Legend 2.5m Reward (Round 6 & 13) [3★] | Alliance Battle Legend 2.5m Reward (Round 6 & 13) [4★],Update 7.7,https://thanosvibs.money/images/artifacts/artifact_emmafrost.png,/mff-assets/artifacts/artifactemmafrost.webp,https://thanosvibs.money/api/artifacts
enchantress,Mystic Fatale,Touch of Sorcery,Medium,Low,"[""3★: Applies to: Self"",""3★: • Increases Mind Damage by 15% of Mind Resist, and an additional 0.2% of Total Instinct. (Up to 200%)"",""3★: • Ignores target's Dodge Rate by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Increases Mind Damage by 20% of Mind Resist, and an additional 0.3% of Total Instinct. (Up to 200%)"",""4★: • Ignores target's Dodge Rate by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Increases Mind Damage by 25% of Mind Resist, and an additional 0.4% of Total Instinct. (Up to 200%)"",""5★: • Ignores target's Dodge Rate by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Increases Mind Damage by 30% of Mind Resist, and an additional 0.5% of Total Instinct. (Up to 200%)"",""6★: • Ignores target's Dodge Rate by 20%, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 9.2,https://thanosvibs.money/images/artifacts/artifact_enchantress.png,/mff-assets/artifacts/artifactenchantress.webp,https://thanosvibs.money/api/artifacts
exodus,Firm Belief,For All Mutants,Low,High,"[""3★: Applies to: Mutant Allies"",""3★: • Increases Max HP by 16%, and an additional 0.1% of total Instinct. (Up to 200%)"",""4★: Applies to: Mutant Allies"",""4★: • Increases Max HP by 19%, and an additional 0.1% of total Instinct. (Up to 200%)"",""5★: Applies to: Mutant Allies"",""5★: • Increases Max HP by 22%, and an additional 0.1% of total Instinct. (Up to 200%)"",""6★: Applies to: Mutant Allies"",""6★: • Increases Max HP by 25%, and an additional 0.1% of total Instinct. (Up to 200%)""]",,Update 9.7,https://thanosvibs.money/images/artifacts/artifact_exodus.png,/mff-assets/artifacts/artifactexodus.webp,https://thanosvibs.money/api/artifacts
falcon,Wings of Justice,The Hunt Begins,High,Low,"[""3★: Applies to: Self"",""3★: • Increases Basic Damage Dealt to SUPER HERO faction by 11%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 11%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Increases Basic Damage Dealt to SUPER HERO faction by 14%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 14%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Increases Basic Damage Dealt to SUPER HERO faction by 17%, and an additional 0.4% of total Instinct. (Up to 200%)"",""5★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 17%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Increases Basic Damage Dealt to SUPER HERO faction by 20%, and an additional 0.5% of total Instinct. (Up to 200%)"",""6★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 20%, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 10.4,https://thanosvibs.money/images/artifacts/artifact_falcon.png,/mff-assets/artifacts/artifactfalcon.webp,https://thanosvibs.money/api/artifacts
falconjoaquintorres,The Second Wing,Human Falcon,Medium,Medium,"[""3★: Applies to: Self"",""3★: • Increases All Basic Attacks by 8%, and an additional 0.25% of total Instinct. (Up to 200%)"",""3★: • 11% chance to Dodge ALL Attacks, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Increases All Basic Attacks by 10%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • 14% chance to Dodge ALL Attacks, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Increases All Basic Attacks by 12%, and an additional 0.35% of total Instinct. (Up to 200%)"",""5★: • 17% chance to Dodge ALL Attacks, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Increases All Basic Attacks by 15%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: • 20% chance to Dodge ALL Attacks, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 10.7,https://thanosvibs.money/images/artifacts/artifact_joaquintorres.png,/mff-assets/artifacts/artifactjoaquintorres.webp,https://thanosvibs.money/api/artifacts
fandral,Robin Hood,Justice at the Tip of a Sword,High,Low,"[""3★: Applies to: Self"",""3★: • Ignores target's Dodge Rate by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Increases All Basic Attacks by 10%, and an additional 0.2% of Total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Ignores target's Dodge Rate by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • Increases All Basic Attacks by 13%, and an additional 0.3% of Total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Ignores target's Dodge Rate by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""5★: • Increases All Basic Attacks by 16%, and an additional 0.4% of Total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Ignores target's Dodge Rate by 20%, and an additional 0.5% of total Instinct. (Up to 200%)"",""6★: • Increases All Basic Attacks by 20%, and an additional 0.5% of Total Instinct. (Up to 200%)""]",,Update 10.0,https://thanosvibs.money/images/artifacts/artifact_fandral.png,/mff-assets/artifacts/artifactfandral.webp,https://thanosvibs.money/api/artifacts
fantomex,Weapon XIII,E.V.A.'s Aid,High,Low,"[""3★: Applies to: Self"",""3★: • Increases Basic Damage Dealt to SUPER HERO faction by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Increases Basic Damage Dealt to SUPER HERO faction by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Increases Basic Damage Dealt to SUPER HERO faction by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""5★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Increases Basic Damage Dealt to SUPER HERO faction by 20%, and an additional 0.5% of total Instinct. (Up to 200%)"",""6★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 20%, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 11.7,https://thanosvibs.money/images/artifacts/artifact_fantomex.png,/mff-assets/artifacts/artifactfantomex.webp,https://thanosvibs.money/api/artifacts
franklinrichards,Pocket Universe,Villains Are Bad,Low,High,"[""3★: Activation Rate: when HP is below 5%"",""3★: Applies to: Fantastic Four Allies"",""3★: • Guard Break Immunity"",""3★: • HP does not drop to 1 or below. Recovers HP by 5% of Max HP when the buff ends."",""3★: • Recovers by an additional 0.5% of Total Instinct. (Up to 100% of HP Recovery) (1 sec.)"",""3★: Cooldown Time 180 seconds"",""4★: Activation Rate: when HP is below 5%"",""4★: Applies to: Fantastic Four Allies"",""4★: • Guard Break Immunity"",""4★: • HP does not drop to 1 or below. Recovers HP by 10% of Max HP when the buff ends."",""4★: • Recovers by an additional 0.5% of Total Instinct. (Up to 100% of HP Recovery) (2 sec.)"",""4★: Cooldown Time 180 seconds"",""5★: Activation Rate: when HP is below 5%"",""5★: Applies to: Fantastic Four Allies"",""5★: • Guard Break Immunity"",""5★: • HP does not drop to 1 or below. Recovers HP by 15% of Max HP when the buff ends."",""5★: • Recovers by an additional 0.5% of Total Instinct. (Up to 100% of HP Recovery) (3 sec.)"",""5★: Cooldown Time 180 seconds"",""6★: Activation Rate: when HP is below 5%"",""6★: Applies to: Fantastic Four Allies"",""6★: • Guard Break Immunity"",""6★: • HP does not drop to 1 or below. Recovers HP by 20% of Max HP when the buff ends."",""6★: • Recovers by an additional 0.5% of Total Instinct. (Up to 100% of HP Recovery) (4 sec.)"",""6★: Cooldown Time 180 seconds""]",,Update 10.1,https://thanosvibs.money/images/artifacts/artifact_franklinrichards.png,/mff-assets/artifacts/artifactfranklinrichards.webp,https://thanosvibs.money/api/artifacts
gambit,The Ace of X,Le Diable Blanc,High,Low,"[""3★: Applies to: Self"",""3★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Increases Basic Damage Dealt to ALIEN Characters by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • Increases Basic Damage Dealt to ALIEN Characters by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""5★: • Increases Basic Damage Dealt to ALIEN Characters by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 20%, and an additional 0.5% of total Instinct. (Up to 200%)"",""6★: • Increases Basic Damage Dealt to ALIEN Characters by 20%, and an additional 0.5% of total Instinct. (Up to 200%)""]",10.6 Collector's Vault (General Vault) [6★],Update 10.6,https://thanosvibs.money/images/artifacts/artifact_gambit.png,/mff-assets/artifacts/artifactgambit.webp,https://thanosvibs.money/api/artifacts
gamora,Godslayer,Infinity Blade,High,Low,"[""3★: Applies to: Self"",""3★: • Ignores target's Dodge Rate by 5%, and an additional 0.1% of total Instinct. (Up to 200%)"",""3★: • Increases Basic Damage Dealt to enemies with 50% HP or below by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Ignores target's Dodge Rate by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: • Increases Basic Damage Dealt to enemies with 50% HP or below by 15%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Ignores target's Dodge Rate by 15%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: • Increases Basic Damage Dealt to enemies with 50% HP or below by 20%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Ignores target's Dodge Rate by 20%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: • Increases Basic Damage Dealt to enemies with 50% HP or below by 25%, and an additional 0.5% of total Instinct. (Up to 200%)""]",9.0 Collector's Vault (General Vault) [6★],Update 7.8,https://thanosvibs.money/images/artifacts/artifact_gamora.png,/mff-assets/artifacts/artifactgamora.webp,https://thanosvibs.money/api/artifacts
ghost,Phantasm,Corporate Sabotage,High,Low,"[""3★: Applies to: Self"",""3★: • Increases Basic Damage Dealt to SUPER HERO faction by 11%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 11%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Increases Basic Damage Dealt to SUPER HERO faction by 14%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 14%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Increases Basic Damage Dealt to SUPER HERO faction by 17%, and an additional 0.4% of total Instinct. (Up to 200%)"",""5★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 17%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Increases Basic Damage Dealt to SUPER HERO faction by 20%, and an additional 0.5% of total Instinct. (Up to 200%)"",""6★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 20%, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 10.9.5,https://thanosvibs.money/images/artifacts/artifact_ghost.png,/mff-assets/artifacts/artifactghost.webp,https://thanosvibs.money/api/artifacts
ghostpanther,Burning Soul,Soul Devourer,High,Low,"[""3★: Applies to: Self"",""3★: • Increases Fire Damage by 15% of Fire Resist, and an additional 0.2% of Total Instinct. (Up to 200%)"",""3★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 5%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Increases Fire Damage by 20% of Fire Resist, and an additional 0.3% of Total Instinct. (Up to 200%)"",""4★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 8%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Increases Fire Damage by 25% of Fire Resist, and an additional 0.4% of Total Instinct. (Up to 200%)"",""5★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 11%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Increases Fire Damage by 30% of Fire Resist, and an additional 0.5% of Total Instinct. (Up to 200%)"",""6★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 15%, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 8.7.5,https://thanosvibs.money/images/artifacts/artifact_ghostpanther.png,/mff-assets/artifacts/artifactghostpanther.webp,https://thanosvibs.money/api/artifacts
ghostrider,Endless Vengeance,Unstoppable Vengeance,Low,High,"[""3★: Activation Rate: when HP is below 5%"",""3★: Applies to: Self"",""3★: • Guard Break Immunity"",""3★: • HP does not drop to 1 or below. Recovers HP by 10% of Max HP when the buff ends."",""3★: • Recovers by an additional 0.5% of Total Instinct. (Up to 100% of HP Recovery) (4 sec.)"",""3★: Cooldown Time 180 seconds"",""4★: Activation Rate: when HP is below 5%"",""4★: Applies to: Self"",""4★: • Guard Break Immunity"",""4★: • HP does not drop to 1 or below. Recovers HP by 20% of Max HP when the buff ends."",""4★: • Recovers by an additional 0.5% of Total Instinct. (Up to 100% of HP Recovery) (5 sec.)"",""4★: Cooldown Time 180 seconds"",""5★: Activation Rate: when HP is below 5%"",""5★: Applies to: Self"",""5★: • Guard Break Immunity"",""5★: • HP does not drop to 1 or below. Recovers HP by 35% of Max HP when the buff ends."",""5★: • Recovers by an additional 0.5% of Total Instinct. (Up to 100% of HP Recovery) (6 sec.)"",""5★: Cooldown Time 180 seconds"",""6★: Activation Rate: when HP is below 5%"",""6★: Applies to: Self"",""6★: • Guard Break Immunity"",""6★: • HP does not drop to 1 or below. Recovers HP by 50% of Max HP when the buff ends."",""6★: • Recovers by an additional 0.5% of Total Instinct. (Up to 100% of HP Recovery) (7 sec.)"",""6★: Cooldown Time 180 seconds""]",9.4 Collector's Vault (General Vault) [6★],Update 9.4.5,https://thanosvibs.money/images/artifacts/artifact_ghostrider.png,/mff-assets/artifacts/artifactghostrider.webp,https://thanosvibs.money/api/artifacts
ghostriderrobbiereyes,Burning Rage,Flames of Vengeance,High,Low,"[""3★: Activation Rate: when skill (regular attacks excluded) is used"",""3★: Applies to: Allies with FLAME Ability"",""3★: • Increases Fire Damage by 20% of Fire Resist, and an additional 0.2% of Total Instinct. (Up to 200%) (7 sec.)"",""3★: • Increases Fire Damage by 8%, and an additional 0.2% of Total Instinct. (Up to 200%) (7 sec.)"",""3★: Cooldown Time 15 seconds"",""4★: Activation Rate: when skill (regular attacks excluded) is used"",""4★: Applies to: Allies with FLAME Ability"",""4★: • Increases Fire Damage by 23% of Fire Resist, and an additional 0.3% of Total Instinct. (Up to 200%) (8 sec.)"",""4★: • Increases Fire Damage by 10%, and an additional 0.2% of Total Instinct. (Up to 200%) (8 sec.)"",""4★: Cooldown Time 15 seconds"",""5★: Activation Rate: when skill (regular attacks excluded) is used"",""5★: Applies to: Allies with FLAME Ability"",""5★: • Increases Fire Damage by 26% of Fire Resist, and an additional 0.4% of Total Instinct. (Up to 200%) (9 sec.)"",""5★: • Increases Fire Damage by 12%, and an additional 0.2% of Total Instinct. (Up to 200%) (9 sec.)"",""5★: Cooldown Time 15 seconds"",""6★: Activation Rate: when skill (regular attacks excluded) is used"",""6★: Applies to: Allies with FLAME Ability"",""6★: • Increases Fire Damage by 30% of Fire Resist, and an additional 0.5% of Total Instinct. (Up to 200%) (10 sec.)"",""6★: • Increases Fire Damage by 15%, and an additional 0.2% of Total Instinct. (Up to 200%) (10 sec.)"",""6★: Cooldown Time 15 seconds""]",8.1 Collector's Vault (Personal Vault) [4★],Update 8.1,https://thanosvibs.money/images/artifacts/artifact_robbiereyes.png,/mff-assets/artifacts/artifactrobbiereyes.webp,https://thanosvibs.money/api/artifacts
giantman,Advances in Science,Eternal Glory,Low,Medium,"[""3★: Applies to: Self"",""3★: • Decreases Basic Damage Received from SUPER HERO faction by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Decreases Basic Damage Received from SUPER VILLAIN faction by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Decreases Basic Damage Received from SUPER HERO faction by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • Decreases Basic Damage Received from SUPER VILLAIN faction by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Decreases Basic Damage Received from SUPER HERO faction by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""5★: • Decreases Basic Damage Received from SUPER VILLAIN faction by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Decreases Basic Damage Received from SUPER HERO faction by 20%, and an additional 0.5% of total Instinct. (Up to 200%)"",""6★: • Decreases Basic Damage Received from SUPER VILLAIN faction by 20%, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 8.8,https://thanosvibs.money/images/artifacts/artifact_giantman.png,/mff-assets/artifacts/artifactgiantman.webp,https://thanosvibs.money/api/artifacts
gilgamesh,Roar of Valor,Forgotten Immortal,Low,High,"[""3★: Activation Rate: when HP is below 25%"",""3★: Applies to: Self"",""3★: • Recovers HP by 50%, and an additional 0.3% of total Instinct. (Up to 200%) (1 sec.)"",""3★: • Increases Max HP by 45%, and an additional 0.1% of total Instinct. (Up to 200%) (15 sec.)"",""3★: Cooldown Time 27 seconds"",""4★: Activation Rate: when HP is below 30%"",""4★: Applies to: Self"",""4★: • Recovers HP by 60%, and an additional 0.3% of total Instinct. (Up to 200%) (1 sec.)"",""4★: • Increases Max HP by 55%, and an additional 0.1% of total Instinct. (Up to 200%) (15 sec.)"",""4★: Cooldown Time 27 seconds"",""5★: Activation Rate: when HP is below 35%"",""5★: Applies to: Self"",""5★: • Recovers HP by 70%, and an additional 0.3% of total Instinct. (Up to 200%) (1 sec.)"",""5★: • Increases Max HP by 65%, and an additional 0.1% of total Instinct. (Up to 200%) (16 sec.)"",""5★: Cooldown Time 27 seconds"",""6★: Activation Rate: when HP is below 40%"",""6★: Applies to: Self"",""6★: • Recovers HP by 80%, and an additional 0.3% of total Instinct. (Up to 200%) (1 sec.)"",""6★: • Increases Max HP by 75%, and an additional 0.1% of total Instinct. (Up to 200%) (16 sec.)"",""6★: Cooldown Time 27 seconds""]",Eternals Epic Quest Deluxe Mission (Shock and Awe) [3★],Update 7.6,https://thanosvibs.money/images/artifacts/artifact_gilgamesh.png,/mff-assets/artifacts/artifactgilgamesh.webp,https://thanosvibs.money/api/artifacts
gladiator,Shi'Ar Confidence,Praetor's Justice,High,Medium,"[""3★: Applies to: Self"",""3★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 11%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Decreases Basic Damage Received from SUPER VILLAIN faction by 11%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 14%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • Decreases Basic Damage Received from SUPER VILLAIN faction by 14%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 17%, and an additional 0.4% of total Instinct. (Up to 200%)"",""5★: • Decreases Basic Damage Received from SUPER VILLAIN faction by 17%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 20%, and an additional 0.5% of total Instinct. (Up to 200%)"",""6★: • Decreases Basic Damage Received from SUPER VILLAIN faction by 20%, and an additional 0.5% of total Instinct. (Up to 200%)""]",9.8 Collector's Vault (General Vault) [6★],Update 9.8,https://thanosvibs.money/images/artifacts/artifact_gladiator.png,/mff-assets/artifacts/artifactgladiator.webp,https://thanosvibs.money/api/artifacts
goliath,Giant-Man II,Goliathan Power,High,Medium,"[""3★: Applies to: Self"",""3★: • Increases All Basic Attacks by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Increases Max HP by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Increases All Basic Attacks by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • Increases Max HP by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Increases All Basic Attacks by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""5★: • Increases Max HP by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Increases All Basic Attacks by 20%, and an additional 0.5% of total Instinct. (Up to 200%)"",""6★: • Increases Max HP by 20%, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 11.0,https://thanosvibs.money/images/artifacts/artifact_goliath.png,/mff-assets/artifacts/artifactgoliath.webp,https://thanosvibs.money/api/artifacts
gorgon,Attilan's Vanguard,Attilan Warrior,High,Low,"[""3★: Applies to: Self"",""3★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Decreases Basic Damage Received from SUPER VILLAIN faction by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • Decreases Basic Damage Received from SUPER VILLAIN faction by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""5★: • Decreases Basic Damage Received from SUPER VILLAIN faction by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 20%, and an additional 0.5% of total Instinct. (Up to 200%)"",""6★: • Decreases Basic Damage Received from SUPER VILLAIN faction by 20%, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 11.6,https://thanosvibs.money/images/artifacts/artifact_gorgon.png,/mff-assets/artifacts/artifactgorgon.webp,https://thanosvibs.money/api/artifacts
